# name	layer	source	ref	status
regions/washington/osm	base-map	url	https://download.geofabrik.de/north-america/us/washington-latest.osm.pbf	fetch
regions/washington/nhd	hydrography	url	https://prd-tnm.s3.amazonaws.com/StagedProducts/Hydrography/NHD/State/GDB/NHD_H_Washington_State_GDB.zip	fetch
regions/washington/elevation/n46w117	elevation	url	https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/13/TIFF/current/n46w117/USGS_13_n46w117.tif	fetch
regions/washington/elevation/n46w118	elevation	url	https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/13/TIFF/current/n46w118/USGS_13_n46w118.tif	fetch
regions/washington/elevation/n46w119	elevation	url	https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/13/TIFF/current/n46w119/USGS_13_n46w119.tif	fetch
regions/washington/elevation/n46w120	elevation	url	https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/13/TIFF/current/n46w120/USGS_13_n46w120.tif	fetch
regions/washington/elevation/n46w121	elevation	url	https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/13/TIFF/current/n46w121/USGS_13_n46w121.tif	fetch
regions/washington/elevation/n46w122	elevation	url	https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/13/TIFF/current/n46w122/USGS_13_n46w122.tif	fetch
regions/washington/elevation/n46w123	elevation	url	https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/13/TIFF/current/n46w123/USGS_13_n46w123.tif	fetch
regions/washington/elevation/n46w124	elevation	url	https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/13/TIFF/current/n46w124/USGS_13_n46w124.tif	fetch
regions/washington/elevation/n46w125	elevation	url	https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/13/TIFF/current/n46w125/USGS_13_n46w125.tif	fetch
regions/washington/elevation/n47w117	elevation	url	https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/13/TIFF/current/n47w117/USGS_13_n47w117.tif	fetch
regions/washington/elevation/n47w118	elevation	url	https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/13/TIFF/current/n47w118/USGS_13_n47w118.tif	fetch
regions/washington/elevation/n47w119	elevation	url	https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/13/TIFF/current/n47w119/USGS_13_n47w119.tif	fetch
regions/washington/elevation/n47w120	elevation	url	https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/13/TIFF/current/n47w120/USGS_13_n47w120.tif	fetch
regions/washington/elevation/n47w121	elevation	url	https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/13/TIFF/current/n47w121/USGS_13_n47w121.tif	fetch
regions/washington/elevation/n47w122	elevation	url	https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/13/TIFF/current/n47w122/USGS_13_n47w122.tif	fetch
regions/washington/elevation/n47w123	elevation	url	https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/13/TIFF/current/n47w123/USGS_13_n47w123.tif	fetch
regions/washington/elevation/n47w124	elevation	url	https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/13/TIFF/current/n47w124/USGS_13_n47w124.tif	fetch
regions/washington/elevation/n47w125	elevation	url	https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/13/TIFF/current/n47w125/USGS_13_n47w125.tif	fetch
regions/washington/elevation/n48w117	elevation	url	https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/13/TIFF/current/n48w117/USGS_13_n48w117.tif	fetch
regions/washington/elevation/n48w118	elevation	url	https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/13/TIFF/current/n48w118/USGS_13_n48w118.tif	fetch
regions/washington/elevation/n48w119	elevation	url	https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/13/TIFF/current/n48w119/USGS_13_n48w119.tif	fetch
regions/washington/elevation/n48w120	elevation	url	https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/13/TIFF/current/n48w120/USGS_13_n48w120.tif	fetch
regions/washington/elevation/n48w121	elevation	url	https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/13/TIFF/current/n48w121/USGS_13_n48w121.tif	fetch
regions/washington/elevation/n48w122	elevation	url	https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/13/TIFF/current/n48w122/USGS_13_n48w122.tif	fetch
regions/washington/elevation/n48w123	elevation	url	https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/13/TIFF/current/n48w123/USGS_13_n48w123.tif	fetch
regions/washington/elevation/n48w124	elevation	url	https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/13/TIFF/current/n48w124/USGS_13_n48w124.tif	fetch
regions/washington/elevation/n48w125	elevation	url	https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/13/TIFF/current/n48w125/USGS_13_n48w125.tif	fetch
regions/washington/elevation/n49w117	elevation	url	https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/13/TIFF/current/n49w117/USGS_13_n49w117.tif	fetch
regions/washington/elevation/n49w118	elevation	url	https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/13/TIFF/current/n49w118/USGS_13_n49w118.tif	fetch
regions/washington/elevation/n49w119	elevation	url	https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/13/TIFF/current/n49w119/USGS_13_n49w119.tif	fetch
regions/washington/elevation/n49w120	elevation	url	https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/13/TIFF/current/n49w120/USGS_13_n49w120.tif	fetch
regions/washington/elevation/n49w121	elevation	url	https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/13/TIFF/current/n49w121/USGS_13_n49w121.tif	fetch
regions/washington/elevation/n49w122	elevation	url	https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/13/TIFF/current/n49w122/USGS_13_n49w122.tif	fetch
regions/washington/elevation/n49w123	elevation	url	https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/13/TIFF/current/n49w123/USGS_13_n49w123.tif	fetch
regions/washington/elevation/n49w124	elevation	url	https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/13/TIFF/current/n49w124/USGS_13_n49w124.tif	fetch
regions/washington/elevation/n49w125	elevation	url	https://prd-tnm.s3.amazonaws.com/StagedProducts/Elevation/13/TIFF/current/n49w125/USGS_13_n49w125.tif	fetch
regions/washington/gbif-checklist	species-checklist	api	gbif-occurrence-download-needs-account	pending
regions/washington/inat-photos	species-photos	s3	s3://inaturalist-open-data-needs-species-list	pending
regions/washington/mycomatch	fungi-synoptic-reference	url	https://www.mycomatch.com/MycoMatch242.exe	fetch
regions/washington/pnkc-keys	fungi-keys	script	svims.ca-council-html-mirror-and-permission-pending	pending
regions/washington/ghcn-daily/seatac	weather-history	url	https://www.ncei.noaa.gov/data/global-historical-climatology-network-daily/access/USW00024233.csv	fetch
regions/washington/ghcn-daily/spokane	weather-history	url	https://www.ncei.noaa.gov/data/global-historical-climatology-network-daily/access/USW00024157.csv	fetch
regions/washington/ghcn-daily/olympia	weather-history	url	https://www.ncei.noaa.gov/data/global-historical-climatology-network-daily/access/USW00024227.csv	fetch
