species	common_name	edibility	edibility2	habit	armature	leafArrangement	leafType	fruitType	fruitColor	fruitColor2	clusterForm	sap	source_title	source_ref
Actaea elata	bugbane	unknown		herb			compound				raceme		Piper & Beattie, Flora of the Northwest Coast (1915)	p. 162
Actaea rubra	red baneberry	poisonous		herb			compound	berry	red	white	raceme		Pammel, A Manual of Poisonous Plants (1911)	p. 468
Amelanchier alnifolia	Saskatoon	choice			unarmed	alternate	simple	pome			raceme		Yanovsky, Food Plants of the North American Indians (1936)	entry Amelanchier alnifolia
Arctostaphylos columbiana	manzanita	edible		shrub		alternate	simple	drupe	red		raceme		Yanovsky, Food Plants of the North American Indians (1936)	entry Arctostaphylos tomentosa
Arctostaphylos media		unknown		shrub		alternate	simple	drupe					Piper & Beattie, Flora of the Northwest Coast (1915)	p. 279
Arctostaphylos nevadensis	pinemat	edible		trailing		alternate	simple	drupe	red		raceme		Yanovsky, Food Plants of the North American Indians (1936)	entry Arctostaphylos nevadensis
Arctostaphylos uva-ursi	kinnikinnick	edible		trailing		alternate	simple	drupe	red		raceme		FM 21-76 Appendix B	p. B-14
Asparagus officinalis	asparagus	unknown		herb				berry	red		single-or-paired		Piper & Beattie, Flora of the Northwest Coast (1915)	p. 99
Celtis reticulata	hackberry	edible		tree			simple	berry					FM 21-76 Appendix B	p. B-44
Clintonia uniflora		unknown		herb		basal			blue		single-or-paired		Piper & Beattie, Flora of the Northwest Coast (1915)	p. 100
Convallaria majalis	lily of the valley	deadly		herb		basal		berry					Chesnut, Principal Poisonous Plants of the United States (1898)	p. 19
Cornus canadensis	bunchberry	edible		herb		whorled	simple	drupe	red				Yanovsky, Food Plants of the North American Indians (1936)	entry Cornus canadensis
Cornus nuttallii		unknown		tree		opposite	simple	drupe	orange	red			Piper & Beattie, Flora of the Northwest Coast (1915)	p. 269
Cornus sericea	red-osier dogwood	edible	unpalatable	shrub		opposite	simple	drupe	white		flat-cluster		Yanovsky, Food Plants of the North American Indians (1936)	entry Cornus stolonifera
Cornus unalaschkensis		unknown
Cotoneaster bullatus		unknown
Cotoneaster coriaceus		unknown
Cotoneaster dammeri		unknown
Cotoneaster dielsianus		unknown
Cotoneaster divaricatus		unknown
Cotoneaster franchetii		unknown
Cotoneaster gamblei		unknown
Cotoneaster horizontalis		unknown
Cotoneaster lucidus		unknown
Cotoneaster salicifolius		unknown
Cotoneaster simonsii		unknown
Crataegus douglasii	black hawthorn	edible		shrub	thorny	alternate	simple	pome	black		flat-cluster		Yanovsky, Food Plants of the North American Indians (1936)	entry Crataegus douglasii
Crataegus monogyna		unknown
Crataegus suksdorfii		unknown
Daphne laureola		poisonous		shrub		alternate							Pammel, A Manual of Poisonous Plants (1911)	entry Daphne Laureola
Daphne mezereum	mezereon	poisonous		shrub		alternate		drupe	red				Pammel, A Manual of Poisonous Plants (1911)	entry Daphne Mezereum
Elaeagnus angustifolia	oleaster	edible		tree									Sturtevant's Notes on Edible Plants (1919)	entry Elaeagnus angustifolia
Empetrum nigrum	crowberry	edible		trailing			simple	drupe	black		single-or-paired		FM 21-76 Appendix B	p. B-33
Fragaria chiloensis	Chiloe strawberry	edible		herb		basal	compound	aggregate	red	white			Yanovsky, Food Plants of the North American Indians (1936)	entry Fragaria chiloensis
Fragaria vesca	alpine strawberry	edible		herb		basal	compound	aggregate	red	white			Yanovsky, Food Plants of the North American Indians (1936)	entry Fragaria vesca
Fragaria virginiana	Virginia strawberry	edible		herb		basal	compound	aggregate	red	white			Yanovsky, Food Plants of the North American Indians (1936)	entry Fragaria virginiana
Frangula purshiana	cascara buckthorn	purgative	edible	tree		alternate	simple	drupe	black		umbel		Pammel, A Manual of Poisonous Plants (1911)	p. 621
Gaultheria ovatifolia		choice		trailing		alternate	simple	berry	red		single-or-paired		Piper & Beattie, Flora of the Northwest Coast (1915)	p. 278
Gaultheria shallon	salal	edible		shrub				berry	black	purple	raceme		Piper & Beattie, Flora of the Northwest Coast (1915)	p. 278
Hedera colchica		unknown
Hedera helix	European ivy	toxic											Pammel, A Manual of Poisonous Plants (1911)	entry Hedera Helix
Hedera hibernica		unknown
Ilex aquifolium	poison berry	poisonous		tree				berry					Pammel, A Manual of Poisonous Plants (1911)	p. 123
Ilex crenata		unknown
Ligustrum ovalifolium		unknown
Ligustrum vulgare	privet	poisonous		shrub		opposite		berry					Pammel, A Manual of Poisonous Plants (1911)	p. 684
Lonicera bella		unknown
Lonicera ciliosa		edible		vine		opposite		berry	orange	red			Yanovsky, Food Plants of the North American Indians (1936)	p. 57
Lonicera conjugialis		unknown				opposite		berry	red				Piper, Flora of the State of Washington (1906)	entry Lonicera conjugialis
