species	common_name	edibility	edibility2	habit	leafArrangement	leafType	leafMargin	flowerColor	flowerColor2	clusterForm	sap	armature	source_title	source_ref
Abies grandis	great silver fir	edible		tree									Yanovsky, Food Plants of the North American Indians (1936)	p. 4, entry Abies grandis (cambium used); traits Flora NW Coast entry Abies grandis
Acer circinatum	Vine Maple	unknown		shrub			lobed						Piper & Beattie, Flora of the Northwest Coast (1915)	p. 235, entry Acer circinatum
Acer macrophyllum	Broadleaf Maple	unknown		tree			lobed	green	yellow	raceme			Piper & Beattie, Flora of the Northwest Coast (1915)	p. 235, entry Acer macrophyllum
Achillea millefolium	Yarrow	toxic		herb			lobed	white		head			Pammel, Manual of Poisonous Plants (1911)	entry Achillea millefolium (irritant, glucoside achillein); traits Flora NW Coast p. 379
Achlys triphylla	Vanilla-leaf	unknown		herb	basal	compound	toothed	white		spike			Piper & Beattie, Flora of the Northwest Coast (1915)	p. 164, entry Achlys triphylla
Aconitum columbianum	monkshood	deadly		herb				blue					Chesnut, Principal Poisonous Plants (1898)	pp. 22-23, entry Aconitum columbianum (all parts poisonous; death from stoppage of respiration)
Actaea elata	bugbane	unknown		herb		compound	toothed	white		raceme			Piper & Beattie, Flora of the Northwest Coast (1915)	p. 162, entry Cimicifuga elata (synonym)
Actaea rubra	Red Baneberry	poisonous		herb		compound	toothed	white		raceme			Pammel, Manual of Poisonous Plants (1911)	pp. 467-468, entry Actaea rubra (berries poisonous); traits Flora NW Coast p. 162 entry Actaea spicata arguta (synonym)
Adiantum aleuticum	Maidenhair	unknown		fern			lobed						Piper & Beattie, Flora of the Northwest Coast (1915)	p. 4, entry Adiantum pedatum aleuticum (synonym)
Alnus rubra	Red alder	edible		tree			toothed						Yanovsky, Food Plants of the North American Indians (1936)	entry Alnus oregona (as A. rubra; cambium used); traits Flora NW Coast p. 120 entry Alnus oregona (synonym)
Amelanchier alnifolia	western service berry	edible		shrub			toothed			raceme			Sturtevant, Notes on Edible Plants (1919)	p. 45, entry Amelanchier alnifolia (berries a food, very good to eat); traits Flora NW Coast entry Amelanchier florida (synonym)
Anaphalis margaritacea	pearly everlasting	unknown		herb				white		head			Piper & Beattie, Flora of the Northwest Coast (1915)	p. 392, entry Anaphalis margaritacea occidentalis
Anemone drummondii		unknown		herb			lobed	blue					Piper & Beattie, Flora of the Northwest Coast (1915)	p. 153, entry Anemone drummondii
Anemone occidentalis	Pasque Flower	unknown		herb	basal		lobed	white	purple	solitary			Piper & Beattie, Flora of the Northwest Coast (1915)	p. 154, entry Pulsatilla occidentalis (synonym)
Anemone piperi	Wood Anemone	unknown		herb		compound	toothed	white		solitary			Piper & Beattie, Flora of the Northwest Coast (1915)	p. 153, entry Anemone piperi
Apocynum androsaemifolium	Spreading Dogbane	toxic		herb	opposite		entire	pink			milky		Pammel, Manual of Poisonous Plants (1911)	p. 129, entry Apocynum androsaemifolium (probably poisonous); traits Flora NW Coast p. 290
Apocynum cannabinum	Indian Hemp	poisonous		herb	opposite		entire	white	green		milky		Pammel, Manual of Poisonous Plants (1911)	p. 129, entry Apocynum cannabinum (contains apocynin, poisonous); traits Flora NW Coast p. 290
Aquilegia flavescens	columbine	unknown		herb		compound	lobed	yellow					Piper & Beattie, Flora of the Northwest Coast (1915)	p. 161, entry Aquilegia flavescens
Aquilegia formosa	columbine	unknown		herb		compound	lobed	red	yellow				Piper & Beattie, Flora of the Northwest Coast (1915)	p. 161, entry Aquilegia formosa
Aquilegia vulgaris	columbine	toxic											Pammel, Manual of Poisonous Plants (1911)	appendix table entry Aquilegia vulgaris (listed as irritant)
Arbutus menziesii	Madrona	unpalatable		tree			entire	white					Piper & Beattie, Flora of the Northwest Coast (1915)	entry Arbutus menziesii (berries scarcely edible)
Arum italicum	Italian arum	toxic	edible-cooked										Sturtevant, Notes on Edible Plants (1919)	p. 70, entry Arum italicum; genus note Arum (poisonous ingredient separated by heat)
Asclepias fascicularis	Narrow Leaved Milkweed	poisonous		herb	whorled		entire	green	white	umbel	milky		Pammel, Manual of Poisonous Plants (1911)	p. 130, entry Asclepias mexicana (synonym; sheep and calves poisoned)
Asclepias speciosa	Showy Milkweed	poisonous		herb			entire	green	purple	umbel	milky		Pammel, Manual of Poisonous Plants (1911)	p. 130, entry Asclepias speciosa (Poisonous.)
Astragalus purshii		unknown
Astragalus sclerocarpus		unknown
Astragalus succumbens		unknown
Athyrium filix-femina	Lady-fern	unknown		fern		compound	toothed						Piper & Beattie, Flora of the Northwest Coast (1915)	entry Athyrium cyclosorum (synonym of A. filix-femina)
Bellis perennis	English daisy	edible											Sturtevant, Notes on Edible Plants (1919)	entry Bellis perennis (leaves used as a pot-herb)
Caltha biflora		unknown		herb	basal	simple	toothed	white					Piper & Beattie, Flora of the Northwest Coast (1915)	p. 162, entry Caltha biflora and genus key
Caltha leptosepala		caution		herb	basal	simple	toothed	white					Pammel, Manual of Poisonous Plants (1911)	entry Caltha palustris, note on C. leptosepala (must be regarded with suspicion; printed as R. leptosepala); traits Flora NW Coast p. 162
Caltha palustris	Marsh marigold	edible-cooked	toxic	herb		simple							Pammel, Manual of Poisonous Plants (1911)	entry Caltha palustris (poisonous principle dissipated on boiling); Yanovsky p. 25 (greens boiled, irritating raw); habit/leaf from Flora NW Coast genus Caltha p. 161
Camassia leichtlinii	Leichtlin camas	edible		herb	basal			white	blue	raceme			Yanovsky, Food Plants of the North American Indians (1936)	p. 14, entry Quamasia leichtlinii (synonym); Flora NW Coast p. 98: the bulbs are edible
Camassia quamash	Common camas	choice		herb	basal			blue	white	raceme			Sturtevant, Notes on Edible Plants (1919)	p. 128, entry Camassia esculenta (synonym; delicious flavor and highly nutritious); Yanovsky p. 14 entry Quamasia quamash
Chamaenerion angustifolium	Fireweed	edible		herb			entire	pink		raceme			FM 21-76 Survival (1992)	App. B p. B-40, entry Fireweed (as Epilobium angustifolium); traits Flora NW Coast entry Epilobium angustifolium (synonym)
Cicuta douglasii	water hemlock	deadly		herb		compound	toothed	white		umbel			Chesnut, Principal Poisonous Plants (1898)	pp. 41-42, entry Cicuta vagans (treated by Flora NW Coast as a form of C. douglasii); flora entry: Root very poisonous
Cirsium arvense	Canada Thistle	edible-cooked	caution	herb			lobed	pink	purple	head		spiny	FM 21-76 Survival (1992)	App. B p. B-89, genus entry Thistle (Cirsium species; stalks boiled, roots edible; some thistle species are poisonous); traits Flora NW Coast entry Cirsium arvense
Cirsium vulgare	Bull Thistle	edible-cooked	caution	herb			lobed	purple		head		spiny	FM 21-76 Survival (1992)	App. B p. B-89, genus entry Thistle (Cirsium species); traits Flora NW Coast entry Cirsium lanceolatum (synonym)
Claytonia perfoliata	Miners-lettuce	edible		herb	basal			white		raceme			Yanovsky, Food Plants of the North American Indians (1936)	p. 24, entry Claytonia perfoliata (plant eaten raw or cooked)
Claytonia sibirica		edible		herb	basal			white	pink	raceme			Yanovsky, Food Plants of the North American Indians (1936)	p. 24, entry Montia sibirica (synonym; eaten raw or cooked)
Conium maculatum	Poison Hemlock	deadly		herb				white					Chesnut, Principal Poisonous Plants (1898)	pp. 43-44, entry Conium maculatum (death ensues from paralysis of the lungs)
